family,N,d,q,p,sample_idx,relax_core_ratio,relax_rounded_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,,0.1,4,6,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.1,4,7,0.125,1.0,0.9999999996435311,0.9999999999836475
Gilbert,5,,0.1,4,8,0.125,1.0,0.9999999996435308,0.9999999999836469
Gilbert,5,,0.1,4,9,0.125,1.0,0.9999999996435308,0.9999999999836469
Gilbert,5,,0.1,4,10,0.3333333333333333,1.0,0.9999999999995556,0.9999999999087236
Gilbert,5,,0.1,4,11,0.125,1.0,0.9999999996435318,0.9999999999836464
Gilbert,5,,0.1,4,12,0.125,1.0,0.9999999996435309,0.9999999999836469
Gilbert,5,,0.1,4,13,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.1,4,14,0.3333333333333333,1.0,0.9999999999995567,0.9999999999087242
Gilbert,5,,0.1,4,15,0.125,1.0,0.9999999996435311,0.9999999999836475
Gilbert,5,,0.1,4,16,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.1,4,17,0.0,1.0,0.75,0.4999999999999994
Gilbert,5,,0.1,4,18,0.125,1.0,0.9984448547759168,0.9915548427426196
Gilbert,5,,0.1,4,19,0.125,1.0,0.9999999996435311,0.9999999999836473
Gilbert,5,,0.1,5,0,0.125,1.0,0.9999014211006054,0.9943371164226334
Gilbert,5,,0.1,5,1,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,2,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,3,0.125,1.0,0.9999999997879825,0.9999999999073255
Gilbert,5,,0.1,5,4,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,5,0.484375,0.75,0.9912140251552097,0.9999999846935486
Gilbert,5,,0.1,5,6,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,7,0.125,1.0,0.9999999997879823,0.9999999999073258
Gilbert,5,,0.1,5,8,0.125,1.0,0.9999999997879825,0.9999999999073259
Gilbert,5,,0.1,5,9,0.125,1.0,0.9999999997879825,0.9999999999073259
Gilbert,5,,0.1,5,10,0.3333333333333333,1.0,0.9999999999999094,0.9999999999992023
Gilbert,5,,0.1,5,11,0.125,1.0,0.9999999997879825,0.9999999999073254
Gilbert,5,,0.1,5,12,0.125,1.0,0.9999999997879818,0.9999999999073257
Gilbert,5,,0.1,5,13,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,14,0.3333333333333333,1.0,0.9999999999999084,0.9999999999992024
Gilbert,5,,0.1,5,15,0.125,1.0,0.9999999997879823,0.9999999999073258
Gilbert,5,,0.1,5,16,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,17,0.0,1.0,0.75,0.5000000000000007
Gilbert,5,,0.1,5,18,0.125,1.0,0.9995423851223724,0.9943371164226341
Gilbert,5,,0.1,5,19,0.125,1.0,0.999999999787982,0.9999999999073254
Gilbert,5,,0.1,6,0,0.125,1.0,0.9998832819299323,0.9978788103649908
Gilbert,5,,0.1,6,1,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,2,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,3,0.125,1.0,0.9999999997902597,0.9999999999667929
Gilbert,5,,0.1,6,4,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,5,0.484375,0.75,0.9999999996330546,0.9999999933429826
Gilbert,5,,0.1,6,6,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,7,0.125,1.0,0.9999999997902601,0.9999999999667919
Gilbert,5,,0.1,6,8,0.125,1.0,0.9999999997902598,0.9999999999667923
Gilbert,5,,0.1,6,9,0.125,1.0,0.9999999997902598,0.9999999999667923
Gilbert,5,,0.1,6,10,0.3333333333333333,1.0,0.9999999999985626,0.9999999999900405
Gilbert,5,,0.1,6,11,0.125,1.0,0.999999999790259,0.9999999999667919
Gilbert,5,,0.1,6,12,0.125,1.0,0.99999999979026,0.9999999999667919
Gilbert,5,,0.1,6,13,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,14,0.3333333333333333,1.0,0.9999999999985607,0.9999999999900394
Gilbert,5,,0.1,6,15,0.125,1.0,0.9999999997902601,0.9999999999667919
Gilbert,5,,0.1,6,16,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,17,0.0,1.0,0.75,0.4999999999999991
Gilbert,5,,0.1,6,18,0.125,1.0,0.9999135646445245,0.9978788103928287
Gilbert,5,,0.1,6,19,0.125,1.0,0.9999999997902607,0.9999999999667931
