family,N,d,q,p,relax_core_ratio_mean,relax_core_ratio_stderr,relax_rounded_ratio_mean,relax_rounded_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,5,,0.1,1,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.8344578658204576,0.018470945243782257,0.6957143425122994,0.03812719199623057
Gilbert,5,,0.1,2,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.8933973455789005,0.025794910017339568,0.780539204108311,0.049100755249413215
Gilbert,5,,0.1,3,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.9098498713039047,0.02699420837299053,0.8170087023959092,0.05354518483554597
Gilbert,5,,0.1,4,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.911397249444702,0.02718623835145302,0.8235851708672799,0.054479085932836235
Gilbert,5,,0.1,5,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.9120328914840931,0.02728085741389499,0.8244337108397914,0.05461814087276889
Gilbert,5,,0.1,6,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.9124898422263359,0.0273543735953997,0.8247878806907607,0.05467663948000677
Gilbert,5,,0.1,7,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.9124956625557333,0.027355352825766788,0.8249999999288795,0.05471216547826858
Gilbert,5,,0.1,8,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.9124999991467451,0.027356082601479488,0.824999999728405,0.05471216544452007
Gilbert,5,,0.1,9,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.9124999396287741,0.027356072581983536,0.8249999997615568,0.05471216545010058
Gilbert,5,,0.1,10,0.12005208333333332,0.029237741857587443,0.9875,0.012499999999999997,0.912499995646429,0.027356082012218536,0.8249999998652496,0.05471216546755725
Gilbert,5,,0.25,1,0.18177083333333335,0.022051488853044927,0.975,0.025,0.7994678840198336,0.021672186208669533,0.5134611828811755,0.033196286411714696
Gilbert,5,,0.25,2,0.18177083333333335,0.022051488853044927,0.975,0.025,0.8973088248047849,0.01945372033450707,0.7372592850730718,0.03433401990916217
Gilbert,5,,0.25,3,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9250940147839479,0.019262927553054667,0.842681546502539,0.03617835685748857
Gilbert,5,,0.25,4,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9482841750161122,0.01974055429507456,0.8522401327349721,0.03539526090011031
Gilbert,5,,0.25,5,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9534268676428127,0.019960479163537534,0.8871555772707355,0.0384116668167914
Gilbert,5,,0.25,6,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9596082291084986,0.020304325036904637,0.8822194644692676,0.038328145534561806
Gilbert,5,,0.25,7,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9618851437845019,0.020422437910803386,0.9187727794995373,0.040411486740890415
Gilbert,5,,0.25,8,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9623440612681838,0.020464488726243756,0.9236989604139071,0.04083618877876537
Gilbert,5,,0.25,9,0.18177083333333335,0.022051488853044927,0.975,0.025,0.9624426389366812,0.0204739373600561,0.9204371815507374,0.04059013049929039
Gilbert,5,,0.25,10,0.18177083333333335,0.022051488853044927,0.975,0.025,0.962488194737519,0.020478314140319254,0.9242247682305479,0.04088609984508112
Gilbert,5,,0.5,1,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.54324709919431,0.0517007221361834,0.4717421646009618,0.021997118636234606
Gilbert,5,,0.5,2,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.7970058179325773,0.026310873019259346,0.6628789627081622,0.024726398445370668
Gilbert,5,,0.5,3,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.7475487356575373,0.0511207651862225,0.7093746651230814,0.04660975111630703
Gilbert,5,,0.5,4,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.8357528585482379,0.03274216350694307,0.8605880066747453,0.0241953020882047
Gilbert,5,,0.5,5,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.8841555157443903,0.03357732973240453,0.8909993551717124,0.019149580797412913
Gilbert,5,,0.5,6,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.8947300420727726,0.025654182538812204,0.8881051513397444,0.03090336497634002
Gilbert,5,,0.5,7,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.938606749331187,0.01798170324155928,0.9185401189015208,0.023364808016373688
Gilbert,5,,0.5,8,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.9292928660467454,0.02270217393578339,0.9558247068067107,0.016734524036130533
Gilbert,5,,0.5,9,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.9577828083402556,0.012745109055876344,0.952468541986299,0.017704410572968853
Gilbert,5,,0.5,10,0.25937499999999997,0.018198203653879415,0.5625,0.14150855469769869,0.9607072327305625,0.010136607716727399,0.9860362540088572,0.005366917504658218
Gilbert,6,,0.1,1,0.10812500000000003,0.017206777466727278,1.0,0.0,0.89523549738483,0.020167612641741217,0.7089374471723853,0.035862549172768085
Gilbert,6,,0.1,2,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9362785316454014,0.021715065480168383,0.8216554047567604,0.04029006260506011
Gilbert,6,,0.1,3,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9460997652651297,0.022562360580746874,0.8677253595252081,0.04336953803185898
Gilbert,6,,0.1,4,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9485937124556534,0.02278858276448375,0.8880042738186281,0.04487528674810205
Gilbert,6,,0.1,5,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9492569073973897,0.02286055825004231,0.8917301586790833,0.04508593403928687
Gilbert,6,,0.1,6,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9498609681393134,0.022925924324645696,0.8965502888567123,0.04554718676044472
Gilbert,6,,0.1,7,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9499320857018301,0.02293388059848177,0.898118978216979,0.0457039487754049
Gilbert,6,,0.1,8,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9499640421681855,0.022937476459924118,0.8987072224183971,0.04575278102176305
Gilbert,6,,0.1,9,0.10812500000000003,0.017206777466727278,1.0,0.0,0.9499769986967831,0.022938946320947513,0.8994115732412151,0.045819377847789555
Gilbert,6,,0.1,10,0.10812500000000003,0.017206777466727278,1.0,0.0,0.949995624427047,0.022941071876099742,0.8997945083612002,0.045860029403929845
Gilbert,6,,0.25,1,0.18687499999999999,0.018798730535247374,1.0,0.0,0.7166482063930758,0.05455449766399487,0.5880870484470785,0.02830620804870416
Gilbert,6,,0.25,2,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9107516634468894,0.019004716189790886,0.7501199206999266,0.03373391605789412
Gilbert,6,,0.25,3,0.18687499999999999,0.018798730535247374,1.0,0.0,0.959260632066352,0.013551060170558163,0.8423049701096316,0.03453876017111686
Gilbert,6,,0.25,4,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9745601214638832,0.013174512447246416,0.8945706697438108,0.028408744283934785
Gilbert,6,,0.25,5,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9746306797666927,0.01352067800519967,0.9097020766901341,0.02847354198009752
Gilbert,6,,0.25,6,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9870098371400348,0.012476036794347474,0.9355478177528068,0.02539433685851041
Gilbert,6,,0.25,7,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9870245274241831,0.012477020618702993,0.9555306271812805,0.02465167151110759
Gilbert,6,,0.25,8,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9873434841164291,0.012491932081465136,0.9563985330450286,0.024677309144788745
Gilbert,6,,0.25,9,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9874070972911324,0.012495180310379331,0.9598185929403865,0.024852946650885534
Gilbert,6,,0.25,10,0.18687499999999999,0.018798730535247374,1.0,0.0,0.9874821077439778,0.01249906074905523,0.9672217530289469,0.024770557591309594
Gilbert,6,,0.5,1,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.3928445413891216,0.03750689848338151,0.45393827332637954,0.03333864393264125
Gilbert,6,,0.5,2,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.6408339398372288,0.07594446150317004,0.5366473302554693,0.06690045989680074
Gilbert,6,,0.5,3,0.26510416666666664,0.018211143972925798,0.6375,0.11395261018695911,0.6862987694138554,0.07003214496657652,0.5927082829610709,0.06949147991884753
