family,N,q,p,times_mean,times_stderr,evals_mean,evals_stderr,aratio_mean,aratio_stderr
Gilbert,5,0.25,1,0.3558155896374956,0.05731683721916612,44.6,7.412002278586926,0.8432694956320808,0.016303202221567975
Gilbert,6,0.25,1,0.2400447602150962,0.013320283325638928,25.4,2.765662468358872,0.7013815824682187,0.09183315102851886
Gilbert,7,0.25,1,0.28816107811871916,0.009394037170015457,26.2,2.0965580258021848,0.4683797160950574,0.08343889201674061
Gilbert,8,0.25,1,0.30237463749945165,0.017665790189408215,26.2,2.8975085082800973,0.43170346217130595,0.05756123164616143
Gilbert,9,0.25,1,0.31132218637503684,0.019092723897013705,23.2,2.048305532764962,0.4765950731926164,0.06595989218668007
Gilbert,10,0.25,1,0.424194774357602,0.0497684635315908,33.2,5.318312180047768,0.485646106680888,0.07767784728696316
Gilbert,11,0.25,1,0.35889101300854237,0.01946774361956526,23.4,2.404625172916191,0.40291979718566734,0.0659811039351297
Gilbert,12,0.25,1,0.42848232521209867,0.04044293598169492,24.6,3.7124415446202272,0.3493200173061278,0.03775939591145597
Gilbert,13,0.25,1,0.3974031175719574,0.015051259189112385,21.8,1.0519822558706333,0.30064151558442753,0.028688154056917332
Gilbert,14,0.25,1,0.6024191337404773,0.05180625600744582,30.2,3.4698703145794947,0.29247245502714236,0.03380535716711598
Gilbert,15,0.25,1,0.5146280217682943,0.02083289314827168,23.4,1.4621141466307537,0.28207480588787254,0.054668819142491894
Gilbert,5,0.25,2,0.519504664838314,0.054179789702902395,75.2,8.935323161475472,0.9281789472919681,0.023020635737167238
Gilbert,6,0.25,2,0.4502710315631703,0.031872167837457215,52.0,4.247875285886398,0.9216654026946095,0.028342466680299567
Gilbert,7,0.25,2,0.6298965006601065,0.047587756157805354,59.6,4.12903001792054,0.8266182191057903,0.03597244764688487
Gilbert,8,0.25,2,0.6794279512250796,0.025242590131667252,57.6,2.7776888874666206,0.7536431640652743,0.03928376362089063
Gilbert,9,0.25,2,0.9974828963866458,0.1195212374217756,71.6,7.594149795145675,0.7127237382765481,0.058925158389389706
Gilbert,10,0.25,2,1.0227081154705957,0.14138987436550862,71.8,10.024192957263164,0.7091907219974983,0.06254454143869947
Gilbert,11,0.25,2,0.9858339642873034,0.0789198204519183,59.8,4.689941956523082,0.6918687919633342,0.049335778186003744
Gilbert,12,0.25,2,1.735496116289869,0.21828945944969552,85.2,9.634198346400066,0.4954187055706004,0.033148530832698746
Gilbert,13,0.25,2,1.504047261737287,0.1570075051447651,72.6,6.317875873705936,0.5604536170665761,0.057655108800596745
Gilbert,14,0.25,2,1.956169962999411,0.15215252375743055,80.6,4.87214303749159,0.5043626221383739,0.09157406342411135
Gilbert,15,0.25,2,2.228816498303786,0.21633796819435538,84.0,5.940445175985458,0.4674363978331348,0.04952756913295334
Gilbert,5,0.25,3,0.8849027216201648,0.08827068711602523,116.8,13.463365932121958,0.9497608528731251,0.023450145917892556
Gilbert,6,0.25,3,1.0139701556414367,0.12379198089574345,101.0,10.281590884250896,0.9603149176386696,0.024159583735995072
Gilbert,7,0.25,3,1.4338286841288208,0.11111894829130804,116.4,6.144916598294886,0.9311010296776739,0.03715203053801655
Gilbert,8,0.25,3,1.7406403314787895,0.09582294732946481,122.8,6.176658571680251,0.7815785680686952,0.05851397579356925
Gilbert,9,0.25,3,2.2134961226955054,0.2828395085276426,134.0,13.185851002747857,0.7423861646765487,0.08487399962877482
Gilbert,10,0.25,3,2.433864212757908,0.23346241808137766,138.0,10.595596569644705,0.8100534958529039,0.07187650671049806
Gilbert,11,0.25,3,2.295737908384763,0.18781247830404646,114.4,8.004443210561938,0.6625907439511369,0.08594812643727237
