family,N,q,p,sample_idx,times,evals,aratio
Gilbert,5,0.25,1,0,0.7300938270054758,44,0.8435492846645739
Gilbert,5,0.25,1,1,0.2660738651175052,34,0.8111970029275081
Gilbert,5,0.25,1,2,0.25274406909011304,36,0.9216531477736112
Gilbert,5,0.25,1,3,0.25349846109747887,36,0.9216531477736112
Gilbert,5,0.25,1,4,0.18001029803417623,18,0.75
Gilbert,5,0.25,1,5,0.2644492650870234,34,0.8111970029275083
Gilbert,5,0.25,1,6,0.5028898289892823,86,0.8429650338722449
Gilbert,5,0.25,1,7,0.21544761303812265,24,0.8228259320804204
Gilbert,5,0.25,1,8,0.5677429470233619,86,0.8429650338722449
Gilbert,5,0.25,1,9,0.3252057218924165,48,0.8646893704290834
Gilbert,6,0.25,1,0,0.22634813794866204,24,0.9352592840386353
Gilbert,6,0.25,1,1,0.23793189390562475,22,0.36918061640691663
Gilbert,6,0.25,1,2,0.22512136795558035,24,0.9352592840386353
Gilbert,6,0.25,1,3,0.22491515707224607,18,0.2427692849081912
Gilbert,6,0.25,1,4,0.30797323398292065,38,0.8677206091101292
Gilbert,6,0.25,1,5,0.226237929193303,24,0.8566792438640052
Gilbert,6,0.25,1,6,0.3237766600213945,44,0.9393611648831686
Gilbert,6,0.25,1,7,0.18868385115638375,18,0.75
Gilbert,6,0.25,1,8,0.21494761295616627,18,0.26090709356849906
Gilbert,6,0.25,1,9,0.2245117579586804,24,0.8566792438640053
Gilbert,7,0.25,1,0,0.29024896607734263,18,0.2517207428187678
Gilbert,7,0.25,1,1,0.30952733498997986,32,0.8337662611222575
Gilbert,7,0.25,1,2,0.3425224591046572,36,0.31762262854709716
Gilbert,7,0.25,1,3,0.24429182591848075,20,0.5142502525952863
Gilbert,7,0.25,1,4,0.2919051570352167,32,0.7972414296187313
Gilbert,7,0.25,1,5,0.2983274089638144,34,0.8610150577778402
Gilbert,7,0.25,1,6,0.26193721289746463,24,0.3150462611099267
Gilbert,7,0.25,1,7,0.25073266914114356,22,0.3091805889290836
Gilbert,7,0.25,1,8,0.3077007632236928,20,0.30370088386150734
Gilbert,7,0.25,1,9,0.28441698383539915,24,0.18025305457007584
Gilbert,8,0.25,1,0,0.23959147394634783,18,0.45519569142147615
Gilbert,8,0.25,1,1,0.35134609299711883,34,0.7168110165407162
Gilbert,8,0.25,1,2,0.2845617840066552,26,0.47638885947378284
Gilbert,8,0.25,1,3,0.22479877807199955,14,0.3616962439199542
Gilbert,8,0.25,1,4,0.27453564922325313,22,0.2266138064868144
Gilbert,8,0.25,1,5,0.31447573681361973,20,0.45603969670637207
Gilbert,8,0.25,1,6,0.3172181078698486,28,0.2276430435035297
Gilbert,8,0.25,1,7,0.2565101410727948,20,0.25176310336385943
Gilbert,8,0.25,1,8,0.3787750150077045,40,0.4093879920784283
Gilbert,8,0.25,1,9,0.3819335959851742,40,0.7354951682181264
Gilbert,9,0.25,1,0,0.27954981196671724,22,0.5285393175562485
Gilbert,9,0.25,1,1,0.4256785449106246,34,0.41759385883917605
Gilbert,9,0.25,1,2,0.29277006699703634,20,0.28179185088474806
Gilbert,9,0.25,1,3,0.2805929018650204,18,0.39899113847731704
Gilbert,9,0.25,1,4,0.2546042110770941,16,0.38919938632440787
Gilbert,9,0.25,1,5,0.4073901770170778,28,0.27979892282656116
Gilbert,9,0.25,1,6,0.29934391006827354,20,0.3167982357382938
Gilbert,9,0.25,1,7,0.28880342608317733,26,0.8036352071835834
Gilbert,9,0.25,1,8,0.3347183659207076,32,0.8797222931095031
Gilbert,9,0.25,1,9,0.24977044784463942,16,0.4698805209863253
Gilbert,10,0.25,1,0,0.30096445116214454,22,0.3285169131874418
Gilbert,10,0.25,1,1,0.48023092886433005,40,0.7858954585086378
Gilbert,10,0.25,1,2,0.5131926629692316,44,0.4981490787100166
Gilbert,10,0.25,1,3,0.2974841189570725,22,0.4873690392218374
Gilbert,10,0.25,1,4,0.3578691650182009,18,0.2235705739875562
Gilbert,10,0.25,1,5,0.3183854988310486,20,0.28893134300893014
Gilbert,10,0.25,1,6,0.25421113008633256,16,0.47033024994406686
Gilbert,10,0.25,1,7,0.7878863029181957,66,0.17047460161866113
Gilbert,10,0.25,1,8,0.4797558079008013,52,0.9051277487445718
Gilbert,10,0.25,1,9,0.45196767686866224,32,0.6980960598771602
Gilbert,11,0.25,1,0,0.3843369069509208,28,0.7860553485286251
Gilbert,11,0.25,1,1,0.2819899229798466,18,0.3670465856341538
Gilbert,11,0.25,1,2,0.3918131801765412,20,0.2966770773336279
Gilbert,11,0.25,1,3,0.47725682705640793,40,0.3390522204883318
Gilbert,11,0.25,1,4,0.32022727909497917,20,0.2804098162495186
Gilbert,11,0.25,1,5,0.38454195694066584,20,0.23807663648861704
Gilbert,11,0.25,1,6,0.2927063370589167,18,0.3202484036313221
Gilbert,11,0.25,1,7,0.4129679799079895,32,0.8001859241360374
Gilbert,11,0.25,1,8,0.33166452404111624,16,0.2827793318792899
Gilbert,11,0.25,1,9,0.3114052158780396,22,0.31866662748714986
Gilbert,12,0.25,1,0,0.33385465503670275,18,0.31030882315604524
Gilbert,12,0.25,1,1,0.649363482138142,40,0.478562772607769
Gilbert,12,0.25,1,2,0.31925168889574707,18,0.23269662826466353
Gilbert,12,0.25,1,3,0.32808399316854775,18,0.3865397686234108
Gilbert,12,0.25,1,4,0.39733964297920465,18,0.31420507823908544
Gilbert,12,0.25,1,5,0.40011924412101507,22,0.2554022942096301
Gilbert,12,0.25,1,6,0.3764440428931266,18,0.27127826235134206
Gilbert,12,0.25,1,7,0.3611924569122493,20,0.32538904060792995
Gilbert,12,0.25,1,8,0.4498928249813616,22,0.29486130298496416
Gilbert,12,0.25,1,9,0.6692812209948897,52,0.6239562020164376
Gilbert,13,0.25,1,0,0.3476520909462124,20,0.41107622042000896
Gilbert,13,0.25,1,1,0.4227665630169213,24,0.21544009912630185
Gilbert,13,0.25,1,2,0.3354406859725714,18,0.46515554786608365
Gilbert,13,0.25,1,3,0.4459401739295572,26,0.23129969072467146
Gilbert,13,0.25,1,4,0.3938388309907168,18,0.3753951202457924
Gilbert,13,0.25,1,5,0.3536151829175651,20,0.18032661996490035
Gilbert,13,0.25,1,6,0.4379175209905952,20,0.26758692723597627
Gilbert,13,0.25,1,7,0.3604085559491068,22,0.29450098234683797
Gilbert,13,0.25,1,8,0.40079654403962195,28,0.3041844673845433
Gilbert,13,0.25,1,9,0.4756550269667059,22,0.26144948052915956
Gilbert,14,0.25,1,0,0.7939094051253051,42,0.39300993926564426
Gilbert,14,0.25,1,1,0.7978618170600384,46,0.47740751335986664
