family,N,q,p,times_mean,times_stderr,evals_mean,evals_stderr,aratio_mean,aratio_stderr
Gilbert,5,0.25,1,0.45469252769835294,0.15367960277483145,44.6,7.412002278586926,0.8432694956320808,0.016303202221567975
Gilbert,6,0.25,1,0.2345304771020892,0.012925800354704286,25.4,2.765662468358872,0.7013815824682187,0.09183315102851886
Gilbert,7,0.25,1,0.27913587489747443,0.00874878260317233,26.2,2.0965580258021848,0.4683797160950574,0.08343889201674061
Gilbert,8,0.25,1,0.29552059350244236,0.01697432472432658,26.2,2.8975085082800973,0.43170346217130595,0.05756123164616143
Gilbert,9,0.25,1,0.3021961366001051,0.017120604125540947,23.2,2.048305532764962,0.4765950731926164,0.06595989218668007
Gilbert,10,0.25,1,0.4102855637989705,0.0480898318141678,33.2,5.318312180047768,0.485646106680888,0.07767784728696316
Gilbert,11,0.25,1,0.34870236340066185,0.01856915095131283,23.4,2.404625172916191,0.40291979718566734,0.0659811039351297
Gilbert,12,0.25,1,0.41382664349948756,0.03842339312683749,24.6,3.7124415446202272,0.3493200173061278,0.03775939591145597
Gilbert,13,0.25,1,0.38596758600033354,0.013645564725428615,21.8,1.0519822558706333,0.30064151558442753,0.028688154056917332
Gilbert,14,0.25,1,0.581346386000223,0.04912217655672594,30.2,3.4698703145794947,0.29247245502714236,0.03380535716711598
Gilbert,15,0.25,1,0.498819309497776,0.01933619183796952,23.4,1.4621141466307537,0.28207480588787254,0.054668819142491894
Gilbert,5,0.25,2,0.505787014903035,0.05232604826049267,75.2,8.935323161475472,0.9281789472919681,0.023020635737167238
Gilbert,6,0.25,2,0.4402577145010582,0.030760829535907426,52.0,4.247875285886398,0.9216654026946095,0.028342466680299567
Gilbert,7,0.25,2,0.6089760518007097,0.04567374919281115,59.6,4.12903001792054,0.8266182191057903,0.03597244764688487
Gilbert,8,0.25,2,0.6594152571997256,0.024548260751828282,57.6,2.7776888874666206,0.7536431640652743,0.03928376362089063
Gilbert,9,0.25,2,0.9632732435988146,0.11573228594565031,71.6,7.594149795145675,0.7127237382765481,0.058925158389389706
Gilbert,10,0.25,2,0.9865462542002206,0.13613112278866363,71.8,10.024192957263164,0.7091907219974983,0.06254454143869947
Gilbert,11,0.25,2,0.950608539901441,0.07625504543857302,59.8,4.689941956523082,0.6918687919633342,0.049335778186003744
Gilbert,12,0.25,2,1.6729115458001615,0.20976776704554279,85.2,9.634198346400066,0.4954187055706004,0.033148530832698746
Gilbert,13,0.25,2,1.454341400701378,0.15090528466394182,72.6,6.317875873705936,0.5604536170665761,0.057655108800596745
Gilbert,14,0.25,2,1.9329233469994507,0.15714194683558905,80.6,4.87214303749159,0.5043626221383739,0.09157406342411135
Gilbert,15,0.25,2,2.253656465798849,0.22202540644409227,84.0,5.940445175985458,0.4674363978331348,0.04952756913295334
Gilbert,5,0.25,3,0.8723741345005692,0.08600628623438332,116.8,13.463365932121958,0.9497608528731251,0.023450145917892556
Gilbert,6,0.25,3,0.9875429393039667,0.12041882211162108,101.0,10.281590884250896,0.9603149176386696,0.024159583735995072
