family,N,q,p,sample_idx,times,evals,aratio
Gilbert,11,0.25,3,3,2.7244518829975277,152,0.39959706934948686
Gilbert,11,0.25,3,4,2.415426113991998,114,0.4940406539142077
Gilbert,11,0.25,3,5,2.5423254060006,116,0.22710607077603556
Gilbert,11,0.25,3,6,2.353004492993932,112,0.9090755014279484
Gilbert,11,0.25,3,7,1.5214214430016,86,0.9494916838851144
Gilbert,11,0.25,3,8,2.7506752149929525,130,0.6191512242346625
Gilbert,11,0.25,3,9,2.0200146660063183,108,0.9999999998969188
Gilbert,12,0.25,3,0,3.183326867001597,128,0.4782526811956763
Gilbert,12,0.25,3,1,2.7146435709873913,120,0.7645751039285482
Gilbert,12,0.25,3,2,5.886494335994939,230,0.6642660108461028
Gilbert,12,0.25,3,3,4.980653867998626,214,0.6672166808152212
Gilbert,12,0.25,3,4,3.2850639910029713,128,0.46098305092593284
Gilbert,12,0.25,3,5,5.268054818006931,202,0.5268501740216285
Gilbert,12,0.25,3,6,3.1939946060010698,134,0.6736602554601081
Gilbert,12,0.25,3,7,2.7305949940055143,110,0.5078669120244094
Gilbert,12,0.25,3,8,3.6379498390015215,140,0.5468889775096416
Gilbert,12,0.25,3,9,3.764723057000083,176,0.9992782073042714
Gilbert,13,0.25,3,0,3.19370355400315,128,0.9001243311759947
Gilbert,13,0.25,3,1,2.988649720005924,148,0.8097017204016468
Gilbert,13,0.25,3,2,3.451353159005521,132,0.8116448532418437
Gilbert,13,0.25,3,3,4.326753815999837,176,0.46828281514616893
Gilbert,13,0.25,3,4,2.762462377999327,112,0.5887111441300946
Gilbert,13,0.25,3,5,3.9228223730024183,160,0.7427240756538913
Gilbert,13,0.25,3,6,3.768493737006793,138,0.45192499395965385
Gilbert,13,0.25,3,7,2.3438823570031673,100,0.5686208581684496
Gilbert,13,0.25,3,8,2.5186819869995816,116,0.9264034519437868
Gilbert,13,0.25,3,9,6.528313087997958,220,0.5825590219347087
Gilbert,14,0.25,3,0,5.241197424998973,176,0.7136763679323681
Gilbert,14,0.25,3,1,3.2592640289949486,130,0.7704020630568705
Gilbert,14,0.25,3,2,4.544954076001886,152,0.36379773405755794
Gilbert,14,0.25,3,3,5.343390816007741,184,0.999191338087182
