family,N,d,q,p,sample_idx,times_cold,times_warm,evals_cold,evals_warm,aratio_cold,aratio_warm
Gilbert,5,,0.1,3,14,6.4261547098867595,4.961210247129202,132,108,0.9999999999819815,0.9999999999424986
Gilbert,5,,0.1,3,15,4.981050158850849,6.162857247050852,116,148,0.9999999999992133,0.9999999999977568
Gilbert,5,,0.1,3,16,1.10070569999516,1.1699528680182993,18,22,0.5000000000000004,0.75
Gilbert,5,,0.1,3,17,1.101348548894748,1.177642185939476,18,22,0.5000000000000004,0.75
Gilbert,5,,0.1,3,18,4.635816446039826,5.816326881060377,98,130,0.9359658652686027,0.9952788929419475
Gilbert,5,,0.1,3,19,4.979230986209586,6.138969738967717,116,148,0.9999999999992133,0.9999999999977554
Gilbert,5,,0.1,4,0,7.017927321139723,10.708907263120636,136,206,0.9915548427426202,0.998444854775918
Gilbert,5,,0.1,4,1,1.2130196138750762,1.297520691063255,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,2,1.2243347968906164,1.3795399800874293,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,3,7.752843389986083,8.50943886092864,160,186,0.9999999999836462,0.9999999996435316
Gilbert,5,,0.1,4,4,1.220711330184713,1.295400775037706,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,5,18.99494743696414,13.378792742965743,298,216,0.9885937321737363,0.9810552821948434
Gilbert,5,,0.1,4,6,1.2205397970974445,1.2933922968804836,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,7,7.777307786047459,8.4979462120682,160,186,0.9999999999836475,0.9999999996435311
Gilbert,5,,0.1,4,8,7.716171293985099,8.425179979996756,160,186,0.9999999999836469,0.9999999996435308
Gilbert,5,,0.1,4,9,7.691315270960331,8.330862389877439,160,186,0.9999999999836469,0.9999999996435308
Gilbert,5,,0.1,4,10,8.740478005027398,7.078808814985678,168,140,0.9999999999087236,0.9999999999995556
Gilbert,5,,0.1,4,11,7.674695006106049,8.475910727865994,160,186,0.9999999999836464,0.9999999996435318
Gilbert,5,,0.1,4,12,7.690032782964408,8.41471601719968,160,186,0.9999999999836469,0.9999999996435309
Gilbert,5,,0.1,4,13,1.2173739839345217,1.2837727509904653,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,14,8.755571098998189,7.095663049025461,168,140,0.9999999999087242,0.9999999999995567
Gilbert,5,,0.1,4,15,7.723125641932711,8.527732132002711,160,186,0.9999999999836475,0.9999999996435311
Gilbert,5,,0.1,4,16,1.2147430521436036,1.280445803888142,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,17,1.2289379101712257,1.2965702910441905,20,24,0.4999999999999994,0.75
Gilbert,5,,0.1,4,18,7.075837953016162,10.87561505381018,136,206,0.9915548427426196,0.9984448547759168
Gilbert,5,,0.1,4,19,7.711936404928565,8.540954977972433,160,186,0.9999999999836473,0.9999999996435311
Gilbert,5,,0.1,5,0,15.093238012865186,37.41235969308764,240,546,0.9943371164226334,0.9999014211006054
Gilbert,5,,0.1,5,1,1.3504396229982376,1.4293721169233322,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,2,1.356744522927329,1.4341012299992144,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,3,10.27199454093352,10.787423842819408,194,216,0.9999999999073255,0.9999999997879825
Gilbert,5,,0.1,5,4,1.3600532298441976,1.426116470945999,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,5,45.374797269003466,28.124857389135286,584,376,0.9999999846935486,0.9912140251552097
Gilbert,5,,0.1,5,6,1.3678618450649083,1.4301028521731496,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,7,10.19396862690337,10.616654036100954,194,216,0.9999999999073258,0.9999999997879823
Gilbert,5,,0.1,5,8,10.221057035960257,10.640408148989081,194,216,0.9999999999073259,0.9999999997879825
Gilbert,5,,0.1,5,9,10.114980459911749,10.664364447118714,194,216,0.9999999999073259,0.9999999997879825
Gilbert,5,,0.1,5,10,11.767529051983729,9.392931299982592,206,170,0.9999999999992023,0.9999999999999094
Gilbert,5,,0.1,5,11,10.108930858084932,10.551671779947355,194,216,0.9999999999073254,0.9999999997879825
Gilbert,5,,0.1,5,12,10.150727455038577,10.674010662129149,194,216,0.9999999999073257,0.9999999997879818
Gilbert,5,,0.1,5,13,1.349279629997909,1.527380869956687,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,14,11.781527510844171,9.51560096279718,206,170,0.9999999999992024,0.9999999999999084
Gilbert,5,,0.1,5,15,10.20735379611142,10.800396257080138,194,216,0.9999999999073258,0.9999999997879823
Gilbert,5,,0.1,5,16,1.3482786039821804,1.420224377186969,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,17,1.3468669462017715,1.4210914860013872,22,26,0.5000000000000007,0.75
Gilbert,5,,0.1,5,18,15.209650289965793,26.053980119992048,240,400,0.9943371164226341,0.9995423851223724
Gilbert,5,,0.1,5,19,10.121013688854873,10.78181939991191,194,216,0.9999999999073254,0.999999999787982
Gilbert,5,,0.1,6,0,34.32191593805328,63.81249580718577,446,838,0.9978788103649908,0.9998832819299323
Gilbert,5,,0.1,6,1,1.5217109818477184,1.5924367478583008,24,28,0.4999999999999991,0.75
Gilbert,5,,0.1,6,2,1.521958061028272,1.5937809871975332,24,28,0.4999999999999991,0.75
Gilbert,5,,0.1,6,3,13.152338654967025,13.429597477894276,228,248,0.9999999999667929,0.9999999997902597
Gilbert,5,,0.1,6,4,1.5223224419169128,1.588117446983233,24,28,0.4999999999999991,0.75
Gilbert,5,,0.1,6,5,57.111863638972864,46.30199273186736,692,546,0.9999999933429826,0.9999999996330546
Gilbert,5,,0.1,6,6,1.5166306819301099,1.6818878040648997,24,28,0.4999999999999991,0.75
