family,N,q,p,relax_ratio_mean,relax_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,5,0.25,1,1.0,0.0,0.8432694956320808,0.016303202221567975,0.5797690076446975,0.05798832659231571
Gilbert,6,0.25,1,1.0,0.0,0.7013815824682187,0.09183315102851886,0.5910046473629441,0.04532291632720204
Gilbert,7,0.25,1,0.95,0.049999999999999996,0.4683797160950574,0.08343889201674061,0.4249669473160007,0.04462023326905233
Gilbert,8,0.25,1,0.95,0.049999999999999996,0.43170346217130595,0.05756123164616143,0.43682504054670657,0.032199808107460905
Gilbert,9,0.25,1,0.7125,0.1845132485457044,0.4765950731926164,0.06595989218668007,0.4179239072591215,0.03478634256618483
Gilbert,10,0.25,1,0.85,0.11279282877125754,0.485646106680888,0.07767784728696316,0.37436681529812377,0.042024346578706455
Gilbert,11,0.25,1,0.5566666666666668,0.22083176100069177,0.40291979718566734,0.0659811039351297,0.339426339705618,0.017137390292118294
Gilbert,12,0.25,1,0.07499999999999998,0.27328872716426067,0.3493200173061278,0.03775939591145597,0.30263141711209285,0.013144031787459196
Gilbert,13,0.25,1,0.6964285714285714,0.12299346954213705,0.30064151558442753,0.028688154056917332,0.33809701057990316,0.03523740616276912
Gilbert,14,0.25,1,0.5071428571428571,0.24002655853722726,0.29247245502714236,0.03380535716711598,0.2391237592574697,0.01609079369472043
Gilbert,15,0.25,1,-0.20595238095238097,0.25635688474421187,0.28207480588787254,0.054668819142491894,0.25244302852359723,0.010243298920465736
Gilbert,5,0.25,2,1.0,0.0,0.9281789472919681,0.023020635737167238,0.7834489172988814,0.050629475325840556
Gilbert,6,0.25,2,1.0,0.0,0.9216654026946095,0.028342466680299567,0.7504464884583681,0.060006954782586316
Gilbert,7,0.25,2,0.975,0.024999999999999998,0.8266182191057903,0.03597244764688487,0.5929127569860178,0.05470830006541248
Gilbert,8,0.25,2,1.0,0.0,0.7536431640652743,0.03928376362089063,0.6147518097830428,0.040631933868225854
Gilbert,9,0.25,2,0.5375,0.19899923227099256,0.7127237382765481,0.058925158389389706,0.5908315177493961,0.04160045385121022
Gilbert,10,0.25,2,0.79,0.14019827229875392,0.7091907219974983,0.06254454143869947,0.5487146970066793,0.048194685242699375
Gilbert,11,0.25,2,0.595,0.20391310785615416,0.6918687919633342,0.049335778186003744,0.5452946800423141,0.04063674902404003
Gilbert,12,0.25,2,-0.040000000000000015,0.2637596174596656,0.4954187055706004,0.033148530832698746,0.47740042534049215,0.019712497751621202
Gilbert,13,0.25,2,0.45928571428571435,0.2648246209644878,0.5604536170665761,0.057655108800596745,0.479562140223689,0.04197229075066782
Gilbert,14,0.25,2,0.37428571428571433,0.21667038778129105,0.5043626221383739,0.09157406342411135,0.3016358790374156,0.08086068975777129
Gilbert,15,0.25,2,-0.04166666666666667,0.19489137169820697,0.4674363978331348,0.04952756913295334,0.4116472547418709,0.02991453795464299
Gilbert,5,0.25,3,1.0,0.0,0.9497608528731251,0.023450145917892556,0.8812615222035951,0.049290095250005175
Gilbert,6,0.25,3,1.0,0.0,0.9603149176386696,0.024159583735995072,0.8170135003872325,0.06339297228563394
Gilbert,7,0.25,3,0.9625,0.0375,0.9311010296776739,0.03715203053801655,0.7328554254275398,0.03897319096041278
Gilbert,8,0.25,3,0.9625,0.0375,0.7815785680686952,0.05851397579356925,0.6822293661015376,0.03731986810109458
Gilbert,9,0.25,3,0.3,0.28333333333333327,0.7423861646765487,0.08487399962877482,0.6205201054891087,0.058746929404897154
Gilbert,10,0.25,3,0.74,0.17587874611030557,0.8100534958529039,0.07187650671049806,0.6151927696709059,0.07205851122165759
Gilbert,11,0.25,3,0.6599999999999999,0.21457969252574774,0.6625907439511369,0.08594812643727237,0.638066014083096,0.03186178293047022
Gilbert,12,0.25,3,-0.07666666666666666,0.33251009452791497,0.628983805403154,0.05196043183525111,0.5349970252296845,0.03825340088965211
Gilbert,13,0.25,3,0.44523809523809527,0.22997529636083952,0.6850697265756238,0.055184102153815855,0.575471006915145,0.03858703787359
