family,N,q,p,sample_idx,relax_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,15,0.25,1,6,-1.4166666666666667,0.16343124631943415,0.19744263558388284
Gilbert,15,0.25,1,7,0.42857142857142855,0.23757678893793438,0.24579479300969057
Gilbert,15,0.25,1,8,0.07142857142857142,0.24281579721460997,0.26251597332343274
Gilbert,15,0.25,1,9,-0.35714285714285715,0.2491354259856748,0.25732858556429317
Gilbert,5,0.25,2,0,1.0,0.9292994466798926,0.7086555675210491
Gilbert,5,0.25,2,1,1.0,0.9459356698839209,0.8417319942414752
Gilbert,5,0.25,2,2,1.0,0.9929963775681675,0.973322696278797
Gilbert,5,0.25,2,3,1.0,0.9929963775681676,0.9733226962787966
Gilbert,5,0.25,2,4,1.0,0.75,0.49999999999999967
Gilbert,5,0.25,2,5,1.0,0.9459356698839207,0.8417319942414755
Gilbert,5,0.25,2,6,1.0,0.9294579910434942,0.6636953026612443
Gilbert,5,0.25,2,7,1.0,0.991447952877901,0.9607353718803423
Gilbert,5,0.25,2,8,1.0,0.9294579910434941,0.6636953026612443
Gilbert,5,0.25,2,9,1.0,0.8742619963707232,0.70759824722439
Gilbert,6,0.25,2,0,1.0,0.9864138682799446,0.8512367978070341
Gilbert,6,0.25,2,1,1.0,0.7839418497941075,0.5901226625168962
Gilbert,6,0.25,2,2,1.0,0.9864138682799451,0.8512367978070341
Gilbert,6,0.25,2,3,1.0,0.8778074943039605,0.4193461399263294
Gilbert,6,0.25,2,4,1.0,0.9459814318212816,0.7268351342671803
Gilbert,6,0.25,2,5,1.0,0.9904758670121787,0.9623023177322181
Gilbert,6,0.25,2,6,1.0,0.9806797640063677,0.8732351299428327
Gilbert,6,0.25,2,7,1.0,0.75,0.4999999999999996
Gilbert,6,0.25,2,8,1.0,0.9244640164361293,0.7678475868519392
Gilbert,6,0.25,2,9,1.0,0.9904758670121792,0.9623023177322179
Gilbert,7,0.25,2,0,0.75,0.5716865909373433,0.5758658074098526
Gilbert,7,0.25,2,1,1.0,0.9200868544049619,0.5731604757263603
Gilbert,7,0.25,2,2,1.0,0.8259528657374136,0.46249855337188417
Gilbert,7,0.25,2,3,1.0,0.767420841121022,0.4915315767942095
Gilbert,7,0.25,2,4,1.0,0.9528175255803575,0.8507339344064452
Gilbert,7,0.25,2,5,1.0,0.9651966439627364,0.8860545368984003
Gilbert,7,0.25,2,6,1.0,0.8344743210581745,0.5740964544873224
Gilbert,7,0.25,2,7,1.0,0.7761233849592591,0.6058996969553858
Gilbert,7,0.25,2,8,1.0,0.7989332580092274,0.6131355207497169
Gilbert,7,0.25,2,9,1.0,0.853489905287406,0.2961510130605995
Gilbert,8,0.25,2,0,1.0,0.7666196790734419,0.6533125412365791
Gilbert,8,0.25,2,1,1.0,0.7484608169599003,0.5963731762051793
Gilbert,8,0.25,2,2,1.0,0.7860292018476194,0.7137651278689124
Gilbert,8,0.25,2,3,1.0,0.4183761737648497,0.6375128208191926
Gilbert,8,0.25,2,4,1.0,0.8869598496780918,0.2794294663189557
Gilbert,8,0.25,2,5,1.0,0.7665749321581845,0.737166157227753
Gilbert,8,0.25,2,6,1.0,0.81698179972013,0.5703018858483999
Gilbert,8,0.25,2,7,1.0,0.8051412196543006,0.624833746085929
Gilbert,8,0.25,2,8,1.0,0.7652239675920114,0.6937703376388625
Gilbert,8,0.25,2,9,1.0,0.7760640002042133,0.641052838580665
Gilbert,9,0.25,2,0,1.0,0.7855478099896448,0.6275956558239628
Gilbert,9,0.25,2,1,1.0,0.8285746358531909,0.4583406992875162
Gilbert,9,0.25,2,2,0.875,0.5683366455844965,0.7178024295315171
Gilbert,9,0.25,2,3,-0.625,0.4589549871202233,0.4589549871202243
Gilbert,9,0.25,2,4,0.125,0.4477026249402045,0.586698478270638
Gilbert,9,0.25,2,5,1.0,0.8314517247750555,0.5561460111413374
Gilbert,9,0.25,2,6,0.375,0.5700774712581156,0.5700774712581155
Gilbert,9,0.25,2,7,1.0,0.9178265541120357,0.7860814277318271
Gilbert,9,0.25,2,8,1.0,0.95623154013186,0.750717924779976
Gilbert,9,0.25,2,9,-0.375,0.7625333890006543,0.3959000925488471
Gilbert,10,0.25,2,0,1.0,0.8063825139944543,0.643418287715552
Gilbert,10,0.25,2,1,1.0,0.8524525654625951,0.7143249000405444
Gilbert,10,0.25,2,2,1.0,0.6628351853212631,0.4894078450471551
Gilbert,10,0.25,2,3,1.0,0.8168401060407519,0.6921564847942641
Gilbert,10,0.25,2,4,-0.1,0.4941255522420951,0.5285243955885714
Gilbert,10,0.25,2,5,0.0,0.2776879827989716,0.2776879827989719
Gilbert,10,0.25,2,6,1.0,0.7586250860292614,0.5036669848664237
Gilbert,10,0.25,2,7,1.0,0.6755808296741326,0.45736451144653795
Gilbert,10,0.25,2,8,1.0,0.9691249408850616,0.7647419707535379
Gilbert,10,0.25,2,9,1.0,0.7782524575263972,0.4158536070152351
Gilbert,11,0.25,2,0,1.0,0.8965440458051294,0.6124705229947348
Gilbert,11,0.25,2,1,1.0,0.782575277665163,0.5310786719045343
Gilbert,11,0.25,2,2,-0.9,0.43000731873936393,0.4300073187393614
Gilbert,11,0.25,2,3,1.0,0.6780805646749836,0.5918913909587227
Gilbert,11,0.25,2,4,0.3,0.5855728815960837,0.48426729558025805
Gilbert,11,0.25,2,5,-0.1,0.5817959973129355,0.6229029999675034
Gilbert,11,0.25,2,6,0.9,0.7217167391938631,0.6423263109486255
Gilbert,11,0.25,2,7,1.0,0.8908824127726609,0.6238737809832325
Gilbert,11,0.25,2,8,0.75,0.5420605027166434,0.2478543787744264
Gilbert,11,0.25,2,9,1.0,0.8094521791565154,0.6662741295717419
Gilbert,12,0.25,2,0,0.1,0.4025669369182155,0.5250813480786676
Gilbert,12,0.25,2,1,1.0,0.6238791558024329,0.49518844850623206
Gilbert,12,0.25,2,2,0.4166666666666667,0.48091994487494927,0.5040878046505058
Gilbert,12,0.25,2,3,0.0,0.5251549791869718,0.5251549791869685
Gilbert,12,0.25,2,4,-0.1,0.3264142033171657,0.32641420331716553
Gilbert,12,0.25,2,5,-0.4,0.448166477446213,0.44816647743405313
